Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Scotland,2013,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,F10,0,0,0,0,0,0,1,5,9,16,20,30,29,43,26,15,11,5,4,0
Scotland,2012,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scotland,2012,I42.6,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,0,0
Scotland,2012,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Scotland,2012,K70,0,0,0,0,0,0,7,18,29,46,86,82,108,107,88,39,21,10,4,1
Scotland,2012,K85.2,0,0,0,0,0,0,0,2,1,0,3,4,1,1,1,1,0,0,0,1
Scotland,2012,K86.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Scotland,2012,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,X45,0,0,0,0,0,1,5,2,4,11,15,13,8,11,7,3,0,0,0,0
Scotland,2012,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2012,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,F10,0,0,0,0,0,1,1,4,11,29,34,46,43,36,34,20,7,10,1,2
Scotland,2011,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,I42.6,0,0,0,0,0,0,0,0,2,1,0,5,1,1,1,2,0,1,0,0
Scotland,2011,K29.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0
Scotland,2011,K70,0,0,0,0,0,1,7,17,48,67,81,106,121,130,89,61,25,6,4,1
Scotland,2011,K85.2,0,0,0,0,0,0,1,0,1,0,0,3,0,1,1,3,0,0,0,0
Scotland,2011,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scotland,2011,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2011,X45,0,0,0,0,0,0,1,1,6,6,11,6,12,7,9,1,0,0,1,0
Scotland,2011,X65,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Scotland,2011,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,F10,0,0,0,0,1,2,7,9,18,33,42,58,38,55,36,17,4,7,2,1
Scotland,2010,G31.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
Scotland,2010,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,I42.6,0,0,0,0,0,0,0,1,0,0,0,2,5,2,1,1,1,0,0,0
Scotland,2010,K29.2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0
Scotland,2010,K70,0,0,0,0,0,1,8,13,42,68,103,134,138,131,98,44,24,9,1,0
Scotland,2010,K85.2,0,0,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1,0,0,0
Scotland,2010,K86.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
Scotland,2010,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,X45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scotland,2010,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2010,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,F10,0,0,0,0,0,2,5,9,14,35,38,38,47,53,32,18,12,6,2,1
Scotland,2009,G31.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Scotland,2009,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,I42.6,0,0,0,0,0,0,0,0,1,0,1,1,3,1,2,1,1,0,0,0
Scotland,2009,K29.2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,2,0
Scotland,2009,K70,0,0,0,0,0,1,4,22,45,79,102,148,120,133,86,53,16,8,3,0
Scotland,2009,K85.2,0,0,0,0,0,2,1,0,0,0,2,2,2,1,2,1,0,0,0,0
Scotland,2009,K86.0,0,0,0,0,0,0,0,1,0,2,3,1,3,1,1,0,0,0,0,0
Scotland,2009,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2009,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Scotland,2009,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,F10,0,0,0,0,2,1,4,9,25,38,47,42,50,48,37,15,13,11,0,0
Scotland,2008,G31.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Scotland,2008,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scotland,2008,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,I42.6,0,0,0,0,0,0,0,1,0,3,2,1,3,0,4,1,0,0,0,0
Scotland,2008,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Scotland,2008,K70,0,0,0,0,0,1,4,21,52,76,114,169,159,143,115,52,19,11,0,0
Scotland,2008,K85.2,0,0,0,0,0,0,1,0,1,0,2,2,0,2,1,0,1,0,0,0
Scotland,2008,K86.0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0
Scotland,2008,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2008,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,F10,0,0,0,0,0,1,3,11,16,27,38,52,61,49,35,20,6,2,0,0
Scotland,2007,G31.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scotland,2007,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,I42.6,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,0,1,0,0,0
Scotland,2007,K29.2,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0
Scotland,2007,K70,0,0,0,0,0,2,6,23,56,84,114,166,158,133,93,53,21,9,2,0
Scotland,2007,K85.2,0,0,0,0,0,0,0,3,0,3,4,0,1,2,1,0,1,0,0,0
Scotland,2007,K86.0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,1,0,0,0
Scotland,2007,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2007,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,F10,0,0,0,1,1,2,4,11,34,34,54,53,58,60,37,21,5,2,1,0
Scotland,2006,G31.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Scotland,2006,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,I42.6,0,0,0,0,0,0,1,0,0,1,2,2,2,1,0,1,1,0,0,0
Scotland,2006,K29.2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Scotland,2006,K70,0,0,0,0,0,1,4,19,56,100,138,159,168,159,109,61,20,5,4,0
Scotland,2006,K85.2,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0
Scotland,2006,K86.0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,1,0,0,0,0
Scotland,2006,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2006,X65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scotland,2006,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,F10,0,0,0,0,1,2,3,9,15,30,56,46,69,42,33,19,8,7,3,0
Scotland,2005,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scotland,2005,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Scotland,2005,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,I42.6,0,0,0,0,0,0,0,0,1,1,1,3,1,3,1,2,0,0,0,0
Scotland,2005,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Scotland,2005,K70,0,0,0,0,0,1,4,28,56,78,145,157,147,149,105,65,23,15,2,1
Scotland,2005,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,K86.0,0,0,0,0,0,0,1,0,2,5,3,2,3,1,0,0,1,0,0,0
Scotland,2005,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,X45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2005,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,F10,0,0,0,0,3,1,6,11,29,41,49,61,73,67,37,20,13,8,2,0
Scotland,2004,G31.2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Scotland,2004,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,I42.6,0,0,0,0,0,0,0,0,0,2,3,2,2,4,2,0,1,0,0,0
Scotland,2004,K29.2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
Scotland,2004,K70,0,0,0,0,0,1,7,20,50,75,128,131,154,121,109,39,32,9,0,0
Scotland,2004,K85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,K86.0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,1,0,0,0,0,0
Scotland,2004,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,2004,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
