Country,Year,Cause,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Northern Ireland,2015,I42.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Northern Ireland,2015,K29.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Ireland,2015,K70,0,0,0,0,0,0,2,4,6,21,38,44,25,28,19,9,4,2,1,0
Northern Ireland,2015,K85.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Northern Ireland,2015,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,X45,0,0,0,0,0,1,0,0,1,7,2,7,4,3,3,0,0,0,0,0
Northern Ireland,2015,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2015,Y15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,E24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,F10,0,0,0,0,0,0,1,0,0,2,4,5,2,5,2,2,0,3,1,0
Northern Ireland,2014,G31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,G62.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,G72.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,I42.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,K29.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Northern Ireland,2014,K70,0,0,0,0,0,0,1,0,8,9,25,30,32,19,16,5,3,2,0,0
Northern Ireland,2014,K85.2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Northern Ireland,2014,K86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,Q86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,R78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,2014,X45,0,0,0,0,0,0,1,1,4,3,3,7,9,4,3,1,0,0,0,0
Northern Ireland,2014,X65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
